Frame Number ,Layer Number,Overflow Count,Underflow Count,Max GNA value,Scale Factor,Max FP32 value,Mean of Overflowing FP32 values,Median,GNA Layer Name,IR Layer Name
1,179,0,2,2.75,256,12.127,0,0,kActIdentity_179,identity_45
1,327,0,4,2.25,256,3.23767,0,0,kActIdentity_327,identity_87
1,164,50,0,64.0,512,303.161,78.313986,68.31235000000001,kActIdentity_164,identity_41
1,238,93,0,64.0,512,976.129,84.32792258064515,67.7546,kActIdentity_238,identity_62
1,496,0,130,0.742188,512,0.681949,0,0,kActIdentity_496,identity_134
1,559,0,3,2.875,256,5.54257,0,0,kActIdentity_559,identity_153
1,243,50,0,63.998,512,977.123,87.24256199999999,68.18515,kActIdentity_243,identity_64
1,451,0,0,3.19531,512,3.58113,0,0,kActIdentity_451,identity_123
1,389,0,0,0.0371094,512,0.0368697,0,0,kActIdentity_389,identity_104
1,314,0,0,2.38086,512,2.11415,0,0,kActIdentity_314,identity_84
1,352,23,0,64.0,512,88.5961,58.441030434782604,55.4794,kActIdentity_352,identity_94
1,188,0,0,2.31445,512,2.56981,0,0,kActIdentity_188,identity_48
1,433,13,0,63.998,512,677.581,135.96706153846154,79.9487,kActIdentity_433,identity_118
1,257,12,0,64.0,512,70.7927,55.51649166666667,53.8106,kActIdentity_257,identity_67
1,483,0,0,0.0390625,512,0.034989,0,0,kActIdentity_483,identity_131
1,502,6,0,64.0,512,79.9514,59.073,55.62925,kActIdentity_502,identity_137
1,259,95,0,64.0,512,161.593,67.59084,63.0275,kActIdentity_259,identity_68
1,593,0,0,4.75391,512,3.25288,0,0,kActIdentity_593,identity_162
1,145,0,0,0.425781,512,0.30584,0,0,kActIdentity_145,identity_36
1,426,3,0,64.0,512,235.826,130.77566666666667,90.9585,kActIdentity_426,identity_115
1,401,0,106,0.705078,512,0.694801,0,0,kActIdentity_401,identity_107
1,217,149,0,64.0,512,313.954,70.53144630872482,67.0006,kActIdentity_217,identity_56
1,169,17,0,64.0,512,305.553,87.93062352941176,73.0697,kActIdentity_169,identity_43
1,475,21,0,63.998,512,209.44,71.99444761904762,66.6375,kActIdentity_475,identity_130
1,158,0,4,2.5,256,21.6642,0,0,kActIdentity_158,identity_39
1,120,4,0,63.998,512,70.1147,64.76272499999999,66.2274,kActIdentity_120,identity_28
1,407,111,0,64.0,512,213.001,68.94900090090091,65.3459,kActIdentity_407,identity_110
1,443,0,4,3.125,256,26.6693,0,0,kActIdentity_443,identity_120
1,568,0,0,15.2188,512,12.6758,0,0,kActIdentity_568,identity_156
1,35,10,1,64.0,512,170.91,79.2689,68.7695,kActIdentity_35,identity_4
1,528,6,0,64.0,512,516.386,139.36496666666667,67.40285,kActIdentity_528,identity_145
1,300,0,27,0.939453,512,0.984546,0,0,kActIdentity_300,identity_79
1,274,0,4,2.5,256,5.87167,0,0,kActIdentity_274,identity_72
1,591,0,114,0.730469,512,0.657435,0,0,kActIdentity_591,identity_161
1,381,34,0,63.998,512,143.193,60.17462352941177,57.84805,kActIdentity_381,identity_103
1,538,0,4,3.5,256,9.65228,0,0,kActIdentity_538,identity_147
1,308,0,0,7.05664,512,5.59419,0,0,kActIdentity_308,identity_81
1,498,0,1,10.3945,512,10.6707,0,0,kActIdentity_498,identity_135
1,05,0,0,58.3906,512,58.3835,0,0,kActIdentity_5,identity_13
1,109,0,7,0.953125,512,0.981964,0,0,kActIdentity_109,identity_25
1,546,0,0,1.91211,512,1.86275,0,0,kActIdentity_546,identity_150
1,333,72,0,64.0,512,342.228,65.50526527777778,58.174800000000005,kActIdentity_333,identity_89
1,405,7,0,64.0,512,121.359,73.92464285714286,66.1278,kActIdentity_405,identity_109
1,391,0,1,2.375,256,5.27948,0,0,kActIdentity_391,identity_105
